"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","molecule_ch1","taxid_ch1","description","description.1","platform_id","contact_name","contact_email","contact_phone","contact_fax","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","relation","relation.1"
"PF12 EpPpTiN0G2","GSM26876","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26876/suppl/GSM26876.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26876/suppl/GSM26876.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF13 EpPpT2N1G1","GSM26877","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26877/suppl/GSM26877.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26877/suppl/GSM26877.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF14 EnPnT2N1G2","GSM26878","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26878/suppl/GSM26878.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26878/suppl/GSM26878.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF15 EpPnTiN1G3","GSM26879","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26879/suppl/GSM26879.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26879/suppl/GSM26879.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF16 EnPnT2N0G3","GSM26880","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26880/suppl/GSM26880.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26880/suppl/GSM26880.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF17 EpPnT2N1G3","GSM26881","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26881/suppl/GSM26881.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26881/suppl/GSM26881.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF18 EnPnT2N1G3","GSM26882","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26882/suppl/GSM26882.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26882/suppl/GSM26882.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF19 EnPuT4N0Gu","GSM26883","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26883/suppl/GSM26883.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26883/suppl/GSM26883.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF20 EnPnT3N1G2","GSM26884","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26884/suppl/GSM26884.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26884/suppl/GSM26884.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF21 EpPpT2N1G2","GSM26885","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26885/suppl/GSM26885.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26885/suppl/GSM26885.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF22 EnPnT2N1G2","GSM26886","Public on Jun 01 2005","Jul 14 2004","Sep 23 2011","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26886/suppl/GSM26886.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26886/suppl/GSM26886.EXP.gz","22215","Reanalyzed by: GSE31519",""
"PF23 EnPnT2N0G2","GSM26887","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26887/suppl/GSM26887.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26887/suppl/GSM26887.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF24 EnPnTiN0G3","GSM26888","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26888/suppl/GSM26888.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26888/suppl/GSM26888.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF25 EnPnT3N2G2","GSM26889","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26889/suppl/GSM26889.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26889/suppl/GSM26889.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF26 EpPnT3N0G3","GSM26890","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","This sample was originally labelled EnPnT3N0G3, based on the clinical ER status on a formalin sample in the originating hospital. The ER status was revised to Ep after IHC of the frozen sample used for the array.","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26890/suppl/GSM26890.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26890/suppl/GSM26890.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF27 EpPnT4N1G2","GSM26891","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26891/suppl/GSM26891.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26891/suppl/GSM26891.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF28 EnPnT2N1G3","GSM26892","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26892/suppl/GSM26892.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26892/suppl/GSM26892.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF29 EnPnT3N1G3","GSM26893","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26893/suppl/GSM26893.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26893/suppl/GSM26893.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF30 EpPpT2N0G3","GSM26894","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26894/suppl/GSM26894.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26894/suppl/GSM26894.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF31 EnPnT2N0G3","GSM26895","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26895/suppl/GSM26895.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26895/suppl/GSM26895.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF32 EpPnT3N1G2","GSM26896","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994 This sample was originally labelled EnPnT3N1G2, based on the clinical ER status on a formalin sample in the originating hospital. The ER status was revised to Ep after IHC of the frozen sample used for the array.","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26896/suppl/GSM26896.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26896/suppl/GSM26896.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF33 EpPnTiN0G2","GSM26897","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26897/suppl/GSM26897.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26897/suppl/GSM26897.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF34 EnPnT3N1G3","GSM26898","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26898/suppl/GSM26898.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26898/suppl/GSM26898.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF35 EpPpT2N1G3","GSM26899","Public on Jun 01 2005","Jul 14 2004","Jun 01 2005","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26899/suppl/GSM26899.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26899/suppl/GSM26899.EXP.gz","22215","",""
"PF36 EnPnT2N0G2","GSM26900","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26900/suppl/GSM26900.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26900/suppl/GSM26900.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF37 EpPpT3N1G2","GSM26901","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26901/suppl/GSM26901.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26901/suppl/GSM26901.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF38 EnPnT2N1G3","GSM26902","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26902/suppl/GSM26902.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26902/suppl/GSM26902.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF39 EnPuT4N0Gu","GSM26903","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26903/suppl/GSM26903.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26903/suppl/GSM26903.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF40 EpPnT4N0G2","GSM26904","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26904/suppl/GSM26904.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26904/suppl/GSM26904.EXP.gz","22215","Reanalyzed by: GSE47561",""
